City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
362,robertsport,6.7533,-11.3686,26.46,87,100,4.15,LR
363,nara,34.6851,135.8049,3.51,69,30,0.89,JP
364,louis trichardt,-23.0439,29.9032,19.33,61,0,2.92,ZA
365,ergani,38.2653,39.7621,0.2,100,100,2.26,TR
366,sao jose da coroa grande,-8.8978,-35.1478,26.62,79,18,3.52,BR
367,kumbo,6.2,10.6667,18.25,29,81,2.33,CM
368,lata,40.1629,-8.3327,7.41,73,0,2.16,PT
369,shiyan,32.6475,110.7781,5.75,64,49,1.3,CN
370,kuytun,54.3419,101.5036,-24.79,100,100,0.81,RU
371,borogontsy,62.6683,131.1683,-34.88,100,99,0.82,RU
372,lasa,46.6166,10.7002,1.49,91,65,2.51,IT
373,toucheng,24.8592,121.8233,18.94,95,100,3.05,TW
374,arman,59.7,150.1667,-26.42,83,96,3.8,RU
375,ruteng,-8.6136,120.4721,17.75,96,99,1.95,ID
376,tuma,55.148,40.5537,-5.99,98,98,1.3,RU
377,walvis bay,-22.9575,14.5053,18.94,83,94,0.99,NA
378,san patricio,28.017,-97.5169,25.97,52,0,3.32,US
379,rio gallegos,-51.6226,-69.2181,17.03,31,75,14.4,AR
380,adrar,20.5022,-10.0711,16.46,25,73,4.78,MR
381,katangli,51.7102,143.2326,-20.77,97,96,3.4,RU
382,bandarbeyla,9.4942,50.8122,23.76,75,83,6.9,SO
383,le port,-20.9373,55.2919,26.0,79,94,3.75,RE
384,lucapa,-8.4192,20.7447,17.43,94,98,0.94,AO
385,soyo,-6.1349,12.3689,25.95,82,93,1.69,AO
386,sept-iles,50.2001,-66.3821,-14.0,83,75,1.54,CA
387,broken hill,-31.95,141.4333,22.04,36,0,5.47,AU
388,bathsheba,13.2167,-59.5167,26.34,73,75,9.77,BB
389,padang,-0.9492,100.3543,23.03,77,100,1.28,ID
390,tinskoy,56.1525,96.9161,-23.71,100,100,1.45,RU
391,hendek,40.7994,30.7481,2.41,94,100,0.86,TR
392,levelland,33.5873,-102.378,22.75,14,4,7.27,US
393,cedar lake,41.3648,-87.4411,7.12,82,66,5.13,US
394,constitucion,-35.3333,-72.4167,18.39,78,17,3.51,CL
395,kenora,49.8167,-94.4337,-11.46,72,40,2.06,CA
396,mount holly,35.2982,-81.0159,15.36,52,40,3.09,US
397,quang ngai,15.1167,108.8,20.16,93,78,1.95,VN
398,tilichiki,60.4667,166.1,-29.72,96,18,3.66,RU
399,takhatpur,22.15,81.8667,14.64,36,0,2.39,IN
400,salmas,38.1973,44.7653,-1.75,88,92,1.35,IR
401,vestmanna,62.1564,-7.1664,7.51,100,100,6.69,FO
402,zhezkazgan,47.8043,67.7144,-3.3,89,98,3.55,KZ
403,uribia,11.7139,-72.266,29.87,48,55,11.46,CO
404,maniitsoq,65.4167,-52.9,-15.98,92,100,4.36,GL
405,bac lieu,9.285,105.7244,23.93,86,11,4.66,VN
406,coquimbo,-29.9533,-71.3436,23.85,53,0,6.17,CL
407,sala,34.0389,-6.8166,12.58,100,47,2.06,MA
408,fagetelu,44.7833,24.5333,-7.55,77,14,3.32,RO
409,marsabit,2.3284,37.9899,20.61,35,12,3.38,KE
410,taguatinga,-12.3857,-46.5711,26.06,67,72,0.38,BR
411,pineto,42.6097,14.066,5.53,69,89,1.65,IT
412,channel-port aux basques,47.5702,-59.1367,-3.03,93,100,8.85,CA
413,askos,40.75,23.3833,-0.12,56,98,3.94,GR
414,tursunzoda,38.5144,68.2333,5.72,85,100,2.45,TJ
415,yuyao,30.05,121.1494,7.87,98,100,0.19,CN
416,lorengau,-2.0226,147.2712,27.34,81,100,1.69,PG
417,namatanai,-3.6667,152.4333,27.33,75,58,0.81,PG
418,usinsk,65.9939,57.5281,-18.01,98,96,2.98,RU
